khloe;[[5,6],[11,12],[15,18],[21,22],[24,29],[30,35],[39,42]]
eli;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
eliana;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
zecchinos;[[3,4],[8,11],[16,18],[21,26]]
addison;[[3,7]]
theodore;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
callie;[[2,4]]
zein;[[4,8],[11,12],[13,17],[20,22]]

graham;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
jameson;[[1,5],[8,12],[13,18],[19,23],[27,30]]

bkhloe;[[5,6],[11,12],[15,18],[21,22],[24,29],[30,35],[39,42]]
beli;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
beliana;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
bzecchinos;[[3,4],[8,11],[16,18],[21,26]]
baddison;[[3,7]]
btheodore;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
bcallie;[[2,4]]


bzein;[[4,8],[11,12],[13,17],[20,22]]
bgraham;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
bjameson;[[1,5],[8,12],[13,18],[19,23],[27,30]]
ckhloe;[[5,6],[11,12],[15,18],[21,22],[24,29],[30,35],[39,42]]
celi;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
celiana;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
czecchinos;[[3,4],[8,11],[16,18],[21,26]]
caddison;[[3,7]]
ctheodore;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
ccallie;[[2,4]]
czein;[[4,8],[11,12],[13,17],[20,22]]
cgraham;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
cjameson;[[1,5],[8,12],[13,18],[19,23],[27,30]]
dkhloe;[[5,6],[11,12],[15,18],[21,22],[24,29],[30,35],[39,42]]
deli;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
deliana;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
dzecchinos;[[3,4],[8,11],[16,18],[21,26]]
daddison;[[3,7]]
dtheodore;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
dcallie;[[2,4]]
dzein;[[4,8],[11,12],[13,17],[20,22]]
dgraham;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
djameson;[[1,5],[8,12],[13,18],[19,23],[27,30]]
ekhloe;[[5,6],[11,12],[15,18],[21,22],[24,29],[30,35],[39,42]]
eeli;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
eeliana;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
ezecchinos;[[3,4],[8,11],[16,18],[21,26]]
eaddison;[[3,7]]
etheodore;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
ecallie;[[2,4]]
ezein;[[4,8],[11,12],[13,17],[20,22]]
egraham;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
ejameson;[[1,5],[8,12],[13,18],[19,23],[27,30]]
fkhloe;[[5,6],[11,12],[15,18],[21,22],[24,29],[30,35],[39,42]]
feli;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
feliana;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
fzecchinos;[[3,4],[8,11],[16,18],[21,26]]
faddison;[[3,7]]
ftheodore;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
fcallie;[[2,4]]
fzein;[[4,8],[11,12],[13,17],[20,22]]
fgraham;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
fjameson;[[1,5],[8,12],[13,18],[19,23],[27,30]]
gkhloe;[[5,6],[11,12],[15,18],[21,22],[24,29],[30,35],[39,42]]
geli;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
geliana;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
gzecchinos;[[3,4],[8,11],[16,18],[21,26]]
gaddison;[[3,7]]
gtheodore;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
gcallie;[[2,4]]
gzein;[[4,8],[11,12],[13,17],[20,22]]
ggraham;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
gjameson;[[1,5],[8,12],[13,18],[19,23],[27,30]]
hkhloe;[[5,6],[11,12],[15,18],[21,22],[24,29],[30,35],[39,42]]
heli;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
heliana;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
hzecchinos;[[3,4],[8,11],[16,18],[21,26]]
haddison;[[3,7]]
htheodore;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
hcallie;[[2,4]]
hzein;[[4,8],[11,12],[13,17],[20,22]]
hgraham;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
hjameson;[[1,5],[8,12],[13,18],[19,23],[27,30]]
ikhloe;[[5,6],[11,12],[15,18],[21,22],[24,29],[30,35],[39,42]]
ieli;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
ieliana;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
izecchinos;[[3,4],[8,11],[16,18],[21,26]]
iaddison;[[3,7]]
itheodore;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
icallie;[[2,4]]
izein;[[4,8],[11,12],[13,17],[20,22]]
igraham;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
ijameson;[[1,5],[8,12],[13,18],[19,23],[27,30]]
jkhloe;[[5,6],[11,12],[15,18],[21,22],[24,29],[30,35],[39,42]]
jeli;[[5,10],[12,16],[21,25],[29,31],[35,37],[39,42],[46,48],[53,56],[57,62],[64,68]]
jeliana;[[4,5],[7,8],[10,15],[18,19],[23,26],[30,32],[34,38]]
jzecchinos;[[3,4],[8,11],[16,18],[21,26]]
jaddison;[[3,7]]
jtheodore;[[4,5],[7,8],[11,16],[20,22],[26,27],[28,30]]
jcallie;[[2,4]]
jzein;[[4,8],[11,12],[13,17],[20,22]]
jgraham;[[1,6],[9,14],[18,21],[25,30],[34,38],[40,41],[44,48]]
jjameson;[[1,5],[8,12],[13,18],[19,23],[27,30]]
       abcdefghijabcdefghik    ;[[11,12],[13,17]     ,[25,     30]] 
