akinsley;[[2,7],[9,13],[14,15],[17,22],[23,25],[26,27],[29,31],[36,38],[40,45],[49,54]]
azemindars;[[2,7],[10,11],[15,17]]
azeugmas;[[4,7]]
alilith;[[1,3],[6,9],[11,14],[15,20],[25,29],[31,33],[38,41]]
aemerson;[[5,10],[11,12],[16,19],[24,27],[28,33],[35,39],[44,47]]
acole;[[4,8],[9,10],[14,15],[19,21],[24,29],[30,31],[34,37]]
aluis;[[3,7],[11,13],[14,15],[18,21],[25,28],[29,33],[34,38]]
amaya;[[4,9],[10,15],[20,23]]
aava;[[1,2],[7,8],[10,12]]
sialas;[[1,2]]

bkinsley;[[2,7],[9,13],[14,15],[17,22],[23,25],[26,27],[29,31],[36,38],[40,45],[49,54]]
zbemindars;[[2,7],[10,11],[15,17]]
zebugmas;[[4,7]]
lilbith;[[1,3],[6,9],[11,14],[15,20],[25,29],[31,33],[38,41]]
emerbson;[[5,10],[11,12],[16,19],[24,27],[28,33],[35,39],[44,47]]
bcole;[[4,8],[9,10],[14,15],[19,21],[24,29],[30,31],[34,37]]
lbuis;[[3,7],[11,13],[14,15],[18,21],[25,28],[29,33],[34,38]]
mabya;[[4,9],[10,15],[20,23]]
avab;[[1,2],[7,8],[10,12]]
silabs;[[1,2]]

ckinsley;[[2,7],[9,13],[14,15],[17,22],[23,25],[26,27],[29,31],[36,38],[40,45],[49,54]]
zcemindars;[[2,7],[10,11],[15,17]]
zecugmas;[[4,7]]
lilcith;[[1,3],[6,9],[11,14],[15,20],[25,29],[31,33],[38,41]]
emerscon;[[5,10],[11,12],[16,19],[24,27],[28,33],[35,39],[44,47]]
colec;[[4,8],[9,10],[14,15],[19,21],[24,29],[30,31],[34,37]]
luics;[[3,7],[11,13],[14,15],[18,21],[25,28],[29,33],[34,38]]
mayca;[[4,9],[10,15],[20,23]]
avac;[[1,2],[7,8],[10,12]]
silacs;[[1,2]]

dkinsley;[[2,7],[9,13],[14,15],[17,22],[23,25],[26,27],[29,31],[36,38],[40,45],[49,54]]
zdemindars;[[2,7],[10,11],[15,17]]
zedugmas;[[4,7]]
lildith;[[1,3],[6,9],[11,14],[15,20],[25,29],[31,33],[38,41]]
emerdson;[[5,10],[11,12],[16,19],[24,27],[28,33],[35,39],[44,47]]
coled;[[4,8],[9,10],[14,15],[19,21],[24,29],[30,31],[34,37]]
luisd;[[3,7],[11,13],[14,15],[18,21],[25,28],[29,33],[34,38]]
mayad;[[4,9],[10,15],[20,23]]
avad;[[1,2],[7,8],[10,12]]
silads;[[1,2]]

ekinsley;[[2,7],[9,13],[14,15],[17,22],[23,25],[26,27],[29,31],[36,38],[40,45],[49,54]]
zeemindars;[[2,7],[10,11],[15,17]]
zeeugmas;[[4,7]]
lileith;[[1,3],[6,9],[11,14],[15,20],[25,29],[31,33],[38,41]]
eemerson;[[5,10],[11,12],[16,19],[24,27],[28,33],[35,39],[44,47]]
ecole;[[4,8],[9,10],[14,15],[19,21],[24,29],[30,31],[34,37]]
leuis;[[3,7],[11,13],[14,15],[18,21],[25,28],[29,33],[34,38]]
mafya;[[4,9],[10,15],[20,23]]
avae;[[1,2],[7,8],[10,12]]
silaes;[[1,2]]

fkinsley;[[2,7],[9,13],[14,15],[17,22],[23,25],[26,27],[29,31],[36,38],[40,45],[49,54]]
zfemindars;[[2,7],[10,11],[15,17]]
zefugmas;[[4,7]]
lilfith;[[1,3],[6,9],[11,14],[15,20],[25,29],[31,33],[38,41]]
emerfson;[[5,10],[11,12],[16,19],[24,27],[28,33],[35,39],[44,47]]
fcole;[[4,8],[9,10],[14,15],[19,21],[24,29],[30,31],[34,37]]
fluis;[[3,7],[11,13],[14,15],[18,21],[25,28],[29,33],[34,38]]
mfaya;[[4,9],[10,15],[20,23]]
avfa;[[1,2],[7,8],[10,12]]
silfas;[[1,2]]

gkinsley;[[2,7],[9,13],[14,15],[17,22],[23,25],[26,27],[29,31],[36,38],[40,45],[49,54]]
zgemindars;[[2,7],[10,11],[15,17]]
zegugmas;[[4,7]]
lilgith;[[1,3],[6,9],[11,14],[15,20],[25,29],[31,33],[38,41]]
emergson;[[5,10],[11,12],[16,19],[24,27],[28,33],[35,39],[44,47]]
cogle;[[4,8],[9,10],[14,15],[19,21],[24,29],[30,31],[34,37]]
luigs;[[3,7],[11,13],[14,15],[18,21],[25,28],[29,33],[34,38]]
mayga;[[4,9],[10,15],[20,23]]
avag;[[1,2],[7,8],[10,12]]
silags;[[1,2]]

hkinsley;[[2,7],[9,13],[14,15],[17,22],[23,25],[26,27],[29,31],[36,38],[40,45],[49,54]]
zhemindars;[[2,7],[10,11],[15,17]]
zehugmas;[[4,7]]
lilhith;[[1,3],[6,9],[11,14],[15,20],[25,29],[31,33],[38,41]]
emerhson;[[5,10],[11,12],[16,19],[24,27],[28,33],[35,39],[44,47]]
hcole;[[4,8],[9,10],[14,15],[19,21],[24,29],[30,31],[34,37]]
hluis;[[3,7],[11,13],[14,15],[18,21],[25,28],[29,33],[34,38]]
mhaya;[[4,9],[10,15],[20,23]]
avha;[[1,2],[7,8],[10,12]]
silhas;[[1,2]]

ikinsley;[[2,7],[9,13],[14,15],[17,22],[23,25],[26,27],[29,31],[36,38],[40,45],[49,54]]
ziemindars;[[2,7],[10,11],[15,17]]
zeiugmas;[[4,7]]
liliith;[[1,3],[6,9],[11,14],[15,20],[25,29],[31,33],[38,41]]
emerison;[[5,10],[11,12],[16,19],[24,27],[28,33],[35,39],[44,47]]
icole;[[4,8],[9,10],[14,15],[19,21],[24,29],[30,31],[34,37]]
liuis;[[3,7],[11,13],[14,15],[18,21],[25,28],[29,33],[34,38]]
maiya;[[4,9],[10,15],[20,23]]
avai;[[1,2],[7,8],[10,12]]
silais;[[1,2]]

kinsley;[[2,7],[9,13],[14,15],[17,22],[23,25],[26,27],[29,31],[36,38],[40,45],[49,54]]
zemindars;[[2,7],[10,11],[15,17]]
zeugmas;[[4,7]]
lilith;[[1,3],[6,9],[11,14],[15,20],[25,29],[31,33],[38,41]]
emerson;[[5,10],[11,12],[16,19],[24,27],[28,33],[35,39],[44,47]]
cole;[[4,8],[9,10],[14,15],[19,21],[24,29],[30,31],[34,37]]
luis;[[3,7],[11,13],[14,15],[18,21],[25,28],[29,33],[34,38]]
maya;[[4,9],[10,15],[20,23]]
ava;[[1,2],[7,8],[10,12]]
silas;[[1,2]]
abcdefghijabcdefghil       ;[[11,    13],      [14,15],[29,33],[34,38]]
